Date,Open,High,Low,Close,Adj Close,Volume
2019-04-21,202.830002,208.479996,202.119995,204.300003,201.660461,97495400
2019-04-28,204.399994,215.309998,199.110001,211.750000,209.014221,186455600
2019-05-05,204.289993,208.839996,192.770004,197.179993,194.632446,173663600
2019-05-12,187.710007,192.470001,182.850006,189.000000,187.276581,186415500
2019-05-19,183.520004,188.000000,177.809998,178.970001,177.338043,156970100
2019-05-26,178.919998,180.589996,174.990005,175.070007,173.473602,104691400
2019-06-02,175.600006,191.919998,170.270004,190.149994,188.416077,154348200
2019-06-09,191.809998,196.789993,190.300003,192.740005,190.982468,111811700
2019-06-16,192.899994,200.850006,192.169998,198.779999,196.967377,131658900
2019-06-23,198.539993,201.570007,195.289993,197.919998,196.115219,117368500
2019-06-30,203.169998,205.080002,200.649994,204.229996,202.367676,72879400
2019-07-07,200.809998,204.389999,198.410004,203.300003,201.446182,101600700
2019-07-14,204.089996,206.500000,202.360001,202.589996,200.742645,87433200
2019-07-21,203.649994,209.729996,203.610001,207.740005,205.845688,87153200
2019-07-28,208.460007,221.369995,201.630005,204.020004,202.159607,219770500
2019-08-04,197.990005,203.529999,192.580002,200.990005,199.157242,173014700
2019-08-11,199.619995,212.139999,199.149994,206.500000,205.394424,161088600
2019-08-18,210.619995,214.440002,201.000000,202.639999,201.555099,141905000
2019-08-25,205.860001,210.449997,203.320007,208.740005,207.622437,109989600
2019-09-01,206.429993,214.419998,204.220001,213.259995,212.118225,82487100
2019-09-08,214.839996,226.419998,211.070007,218.750000,217.578842,175366900
2019-09-15,217.729996,223.759995,217.470001,217.729996,216.564285,142290500
2019-09-22,218.949997,222.490005,217.139999,218.820007,217.648483,116445200
2019-09-29,220.899994,228.220001,215.130005,227.009995,225.794617,158621700
2019-10-06,226.270004,237.639999,224.330002,236.210007,234.945358,147176400
2019-10-13,234.899994,238.130005,233.199997,236.410004,235.144302,105677400
2019-10-20,237.520004,246.729996,237.320007,246.580002,245.259842,97030500
2019-10-27,247.419998,255.929993,237.259995,255.820007,254.450378,163555400
2019-11-03,257.329987,260.440002,255.369995,260.140015,258.747253,105990200
2019-11-10,258.299988,265.779999,258.279999,265.760010,265.130768,115333400
2019-11-17,265.799988,268.000000,260.399994,261.779999,261.160187,113956300
2019-11-24,262.709991,268.000000,262.500000,267.250000,266.617249,75270300
2019-12-01,267.269989,271.000000,256.290009,270.709991,270.069031,114149800
2019-12-08,270.000000,275.299988,264.910004,275.149994,274.498535,142029400
2019-12-15,277.000000,282.649994,276.980011,279.440002,278.778381,183180000
2019-12-22,280.529999,293.970001,280.369995,289.799988,289.113831,96609500
2019-12-29,289.459991,300.600006,285.220001,297.429993,296.725769,131680800
2020-01-05,293.790009,312.670013,292.750000,310.329987,309.595215,167522900
2020-01-12,311.640015,318.739990,309.549988,318.730011,317.975372,163013900
2020-01-19,317.190002,323.329987,315.649994,318.309998,317.556335,115921300
2020-01-26,310.059998,327.850006,304.880005,309.510010,308.777191,216683700
2020-02-02,304.299988,325.220001,302.220001,320.029999,319.272278,163134600
2020-02-09,314.179993,321.549988,313.850006,321.549988,321.549988,27275400
2020-02-10,314.179993,321.549988,313.850006,321.549988,321.549988,27337215
